node_id,node_type,label,author_channel_id,video_id,title,channel_name,category,view_count,has_observed_edge
author::UCLXYp1Cvc5DLtq5UQL5D9vw,author,@jorgecifuentes-m5g,UCLXYp1Cvc5DLtq5UQL5D9vw,,,,,,True
author::UCLggDc_a5HriXv7I1h02sOA,author,@guillermogonzalez5153,UCLggDc_a5HriXv7I1h02sOA,,,,,,True
author::UCLh1Kde4_vI1sTZBkTNP7RQ,author,@JoelReynoso-d4r,UCLh1Kde4_vI1sTZBkTNP7RQ,,,,,,True
author::UCN2N_wYOw6fMwCeSzdXLPIw,author,@danielantoniogonzalezflore4901,UCN2N_wYOw6fMwCeSzdXLPIw,,,,,,True
author::UCN6qbfPSzFtjhqUDZ3Cv3CQ,author,@carlosmedranovelasquez6380,UCN6qbfPSzFtjhqUDZ3Cv3CQ,,,,,,True
author::UCNBnKqWf4d-rS4HwJRQljmQ,author,@LE_A22,UCNBnKqWf4d-rS4HwJRQljmQ,,,,,,True
author::UCNIeXbV_mEwpa412h1aqUWw,author,@juandeleon9060,UCNIeXbV_mEwpa412h1aqUWw,,,,,,True
author::UCNiMNUJvaRJb0_QLClqwVnA,author,@Santiago.Nolasco,UCNiMNUJvaRJb0_QLClqwVnA,,,,,,True
author::UCNkcuy42zEwddwEcOd_HpnA,author,@vanigomez492,UCNkcuy42zEwddwEcOd_HpnA,,,,,,True
author::UCNpt5CQlTzNjlAKY6CJtClQ,author,@eustaquiogomez9975,UCNpt5CQlTzNjlAKY6CJtClQ,,,,,,True
author::UCO0zwwLWGyDgQmWPJ5Qrr1w,author,@elsalvador3605,UCO0zwwLWGyDgQmWPJ5Qrr1w,,,,,,True
author::UCOARn3hnfkB7-_Rwa8Hoqcw,author,@nicelol5241,UCOARn3hnfkB7-_Rwa8Hoqcw,,,,,,True
author::UCOLGv5Pf6BF2wFcwUzgcvHg,author,@welfrealdana5559,UCOLGv5Pf6BF2wFcwUzgcvHg,,,,,,True
author::UCOLHH4ZpMxPYF-Q6e6wvn5A,author,@luisroldan7374,UCOLHH4ZpMxPYF-Q6e6wvn5A,,,,,,True
