red,componente,tamano,aristas_internas,es_componente_mayor
proyeccion_autor_autor,5,3,3,False
proyeccion_autor_autor,6,2,1,False
proyeccion_autor_autor,7,1,0,False
proyeccion_autor_autor,8,1,0,False
proyeccion_autor_autor,9,1,0,False
proyeccion_autor_autor,10,1,0,False
proyeccion_video_video,1,10,11,True
proyeccion_video_video,2,1,0,False
proyeccion_video_video,3,1,0,False
proyeccion_video_video,4,1,0,False
proyeccion_video_video,5,1,0,False
proyeccion_video_video,6,1,0,False
proyeccion_video_video,7,1,0,False
proyeccion_video_video,8,1,0,False
proyeccion_video_video,9,1,0,False
proyeccion_video_video,10,1,0,False
proyeccion_video_video,11,1,0,False
proyeccion_video_video,12,1,0,False
proyeccion_video_video,13,1,0,False
proyeccion_video_video,14,1,0,False
proyeccion_video_video,15,1,0,False
proyeccion_video_video,16,1,0,False
proyeccion_video_video,17,1,0,False
proyeccion_video_video,18,1,0,False
proyeccion_video_video,19,1,0,False
proyeccion_video_video,20,1,0,False
proyeccion_video_video,21,1,0,False
proyeccion_video_video,22,1,0,False
proyeccion_video_video,23,1,0,False
proyeccion_video_video,24,1,0,False
proyeccion_video_video,25,1,0,False
proyeccion_video_video,26,1,0,False
proyeccion_video_video,27,1,0,False
proyeccion_video_video,28,1,0,False
proyeccion_video_video,29,1,0,False
proyeccion_video_video,30,1,0,False
proyeccion_video_video,31,1,0,False
proyeccion_video_video,32,1,0,False
proyeccion_video_video,33,1,0,False
proyeccion_video_video,34,1,0,False
proyeccion_video_video,35,1,0,False
proyeccion_video_video,36,1,0,False
proyeccion_video_video,37,1,0,False
proyeccion_video_video,38,1,0,False
proyeccion_video_video,39,1,0,False
proyeccion_video_video,40,1,0,False
proyeccion_video_video,41,1,0,False
proyeccion_video_video,42,1,0,False
proyeccion_video_video,43,1,0,False
proyeccion_video_video,44,1,0,False
proyeccion_video_video,45,1,0,False
proyeccion_video_video,46,1,0,False
proyeccion_video_video,47,1,0,False
proyeccion_video_video,48,1,0,False
proyeccion_video_video,49,1,0,False
proyeccion_video_video,50,1,0,False
proyeccion_video_video,51,1,0,False
proyeccion_video_video,52,1,0,False
proyeccion_video_video,53,1,0,False
proyeccion_video_video,54,1,0,False
proyeccion_video_video,55,1,0,False
proyeccion_video_video,56,1,0,False
proyeccion_video_video,57,1,0,False
proyeccion_video_video,58,1,0,False
proyeccion_video_video,59,1,0,False
proyeccion_video_video,60,1,0,False
proyeccion_video_video,61,1,0,False
proyeccion_video_video,62,1,0,False
proyeccion_video_video,63,1,0,False
proyeccion_video_video,64,1,0,False
proyeccion_video_video,65,1,0,False
proyeccion_video_video,66,1,0,False
proyeccion_video_video,67,1,0,False
proyeccion_video_video,68,1,0,False
proyeccion_video_video,69,1,0,False
proyeccion_video_video,70,1,0,False
proyeccion_video_video,71,1,0,False
proyeccion_video_video,72,1,0,False
proyeccion_video_video,73,1,0,False
proyeccion_video_video,74,1,0,False
proyeccion_video_video,75,1,0,False
proyeccion_video_video,76,1,0,False
proyeccion_video_video,77,1,0,False
proyeccion_video_video,78,1,0,False
proyeccion_video_video,79,1,0,False
proyeccion_video_video,80,1,0,False
proyeccion_video_video,81,1,0,False
proyeccion_video_video,82,1,0,False
proyeccion_video_video,83,1,0,False
proyeccion_video_video,84,1,0,False
proyeccion_video_video,85,1,0,False
proyeccion_video_video,86,1,0,False
proyeccion_video_video,87,1,0,False
proyeccion_video_video,88,1,0,False
proyeccion_video_video,89,1,0,False
proyeccion_video_video,90,1,0,False
proyeccion_video_video,91,1,0,False
proyeccion_video_video,92,1,0,False
proyeccion_video_video,93,1,0,False
proyeccion_video_video,94,1,0,False
proyeccion_video_video,95,1,0,False
proyeccion_video_video,96,1,0,False
